"";"hashed_id";"profession_declaree";"profession_recode"
"2054";7446;"Vendeur conseil magasin d'habillement (VCM)";"Vendeur conseil magasin d'habillement (VCM)"
"2055";9930;"Médecin du travail";"Médecin du travail"
"2056";7468;"Gestionnaire paie";"Gestionnaire de paie"
"2057";2613;"Secrétaire médicale";"Secrétaire médicale"
"2058";7504;"Responsable formation d'entreprise";"Responsable formation d'entreprise"
"2059";8232;"Agent d’entretien";"Agent d'entretien et de maintenance des bâtiments"
"2060";4458;"Mécanicien réparateur de motocycles";"Mécanicien réparateur de motocycles"
"2061";8910;"Chef de projet informatique";"Chef de projet informatique"
"2062";7801;"Ouvrier agricole viticulture";"Ouvrier viticole"
"2063";9770;"Mécanicien soudeur";"Monteur soudeur en mécanique"
"2064";1466;"Assistante maternelle agréée";"Assistante maternelle agréée"
"2065";6621;"Infographiste";"Infographiste"
"2066";2900;"Chef de projet informatique";"Chef de projet informatique"
"2067";2564;"Directeur technique en informatique (50 salariés ou plus)";"Directeur technique en informatique (50 salariés ou plus)"
"2068";6951;"Responsable recouvrement";"Chargée du recouvrement"
"2069";1852;"fonctionnaire";NA
"2070";2018;"Chargé de développement social";"Chargé de mission développement territorial"
"2071";5664;"Directeur technique de l'industrie";"Directeur technique de l'industrie"
"2072";1452;"méthodes et industrialisation";NA
"2073";9592;"Développeur web";"Développeur web"
"2074";237;"Secrétaire comptable";"Secrétaire comptable"
"2075";9576;"Acheteur industriel";"Acheteur industriel"
"2076";5100;"Product Owner";"Product manager"
"2077";7207;"Tailleur de pierres";"Tailleur de pierres"
"2078";4028;"Juriste fiscaliste";"Juriste fiscaliste"
"2079";3234;"Chef d’atelier";"Chef d'atelier soudure"
"2080";4586;"Médecin généraliste";"Médecin généraliste"
"2081";4891;"Président Directeur Général (PDG) d'entreprise de services";"Président ou PDG d'entreprise de services"
"2082";3936;"Cadre de gestion des ressources humaines";"Cadre de gestion des ressources humaines (RH)"
"2083";2353;"Chargée de clientèle à distance";"Chargée de clientèle à distance"
"2084";2341;"Copilote de ligne";"Copilote de ligne"
"2085";5679;"Ingénieur";"Ingénieur des mines"
"2086";2713;"Manutentionnaire cariste";"Manutentionnaire cariste"
"2087";3438;"Chargé de mission";"Chargé de mission développement économique"
"2088";6291;"Tech";NA
"2089";5440;"Artisan coiffeur";"Artisan coiffeur"
"2090";171;"Directrice de clientèle";"Directrice de clientèle"
"2091";2246;"Éditeur";"Éditeur (littéraire, numérique, disques, jeux, etc.)"
"2092";4369;"Artiste musicien";"Artiste musicien"
"2093";9582;"Opérateur de l'industrie du caoutchouc";"Opérateur de l'industrie du caoutchouc"
"2094";2881;"Vigneronne";"Vigneronne"
"2095";5188;"Directrice de clientèle (50 salariés ou plus)";"Directrice de clientèle (50 salariés ou plus)"
"2096";3526;"Chirurgienne dentiste";"Chirurgienne dentiste"
"2097";2602;"Assistante commerciale";"Assistante commerciale"
"2098";9886;"Conseillère de vente";"Conseillère clientèle du commerce"
"2099";7197;"Ingénieur développement informatique";"Ingénieur développement informatique"
"2100";5847;"Agent de production de l'industrie chimique";"Agent de production de l'industrie chimique"
"2101";5943;"Développeuse full-stack";"Développeuse full-stack"
"2102";2695;"Agent administratif des collectivités territoriales";"Agent administratif des collectivités territoriales"
"2103";2589;"Chef de cabine";"Chef de cabine"
"2104";10307;"médecin du travail";"Médecin du travail"
"2105";5736;"ATSEM";"Agente territoriale spécialisée des écoles maternelles (ATSEM)"
