"";"dz_artist_id";"dz_name"
"349";"882800";"blake neely"
"350";"876708";"daniel behle"
"351";"824615";"fiona monbet"
"352";"823557";"ferruccio busoni"
"353";"804963";"jeff meegan"
"354";"794965";"thomas ford"
"355";"662504";"quentin sirjacq"
"356";"661973";"fabrizio paterlini"
"357";"652864";"sophie hutchings"
"358";"646871";"joel p west"
"359";"565980";"michele fedrigotti"
"360";"543705";"marina baranova"
"361";"520650";"jean-philippe rameau"
"362";"516178";"christopher lennertz"
"363";"515684";"peter gregson"
"364";"511182";"benjamin wallfisch"
"365";"510086";"henry jackman"
"366";"500210";"jérôme rebotier"
"367";"482355";"patrick hamilton"
"368";"469604";"akira kosemura"
"369";"467973";"jonas b. ingebretsen"
"370";"464569";"paul leonard-morgan"
"371";"460395";"béla bartók"
"372";"459255";"yvan cassar"
"373";"455262";"paul bateman"
"374";"450628";"peter scholes"
"375";"447817";"douglas gamley"
"376";"447145";"alex heffes"
"377";"437174";"manuel de falla"
"378";"437173";"emmanuel chabrier"
"379";"437172";"edward elgar"
"380";"437168";"carl maria von weber"
"381";"437167";"gioachino rossini"
"382";"437166";"nikolai rimsky-korsakov"
"383";"437166";"nikolai rimski-korsakow"
"384";"424676";"eric whitacre"
"385";"417456";"paul lewis"
"386";"411925";"cameron carpenter"
"387";"409729";"john rutter"
"388";"406144";"fazil say"
"389";"405957";"stanley myers"
"390";"396256";"ian honeyman"
"391";"386024";"dmitri shostakovich"
"392";"386024";"dimitri chostakovitch"
"393";"380776";"paul misraki"
"394";"364343";"hector berlioz"
"395";"359834";"luis cobos"
"396";"359001";"alceo galliera"
"397";"357765";"yves castagnet"
"398";"357236";"albert guinovart"
"399";"355227";"bobby tahouri"
"400";"353974";"federico mompou"
"401";"352182";"david buckley"
"402";"349283";"edmon colomer"
"403";"324981";"karol beffa"
"404";"314850";"roberto cacciapaglia"
"405";"311644";"narciso yepes"
"406";"309998";"tchaikovsky"
"407";"309998";"tchaïkovsky"
"408";"309998";"tchaïkovski"
"409";"305612";"inon zur"
"410";"305399";"johann strauss"
"411";"303712";"sergei prokofiev"
"412";"298105";"john morris"
"413";"296881";"victor de sabata"
"414";"290422";"marcel peres"
"415";"289768";"georg friedrich haendel"
"416";"289768";"georg friedrich händel"
"417";"289768";"george frideric handel"
"418";"282251";"peter raeburn"
"419";"280497";"nobuo uematsu"
"420";"271053";"yves prin"
"421";"271045";"laurent petitgirard"
"422";"269156";"marco frisina"
"423";"265856";"robert ashley"
"424";"263710";"raymond alessandrini"
"425";"256989";"andrea morricone"
"426";"256776";"christophe julien"
"427";"255497";"domenico cimarosa"
"428";"255056";"bruno rigutto"
"429";"248855";"hans stadlmair"
"430";"245106";"leonard pennario"
"431";"244954";"krzysztof penderecki"
"432";"244605";"joaquin rodrigo"
"433";"243815";"fritz kreisler"
"434";"241129";"pierre dervaux"
"435";"214883";"manuel rosenthal"
"436";"214826";"roger eno"
"437";"211109";"gabriela montero"
"438";"210823";"barrington pheloung"
"439";"210705";"miklós rózsa"
"440";"210650";"jonny greenwood"
"441";"209511";"heinz holliger"
"442";"207645";"jean sibelius"
"443";"205661";"ralph vaughan williams"
"444";"205660";"jacques offenbach"
"445";"205652";"francisco tarrega"
"446";"191347";"sergei rachmaninov"
"447";"191347";"sergei rachmaninoff"
"448";"190837";"roland pöntinen"
"449";"183333";"astor piazzola"
"450";"172149";"valeriano chiaravalle"
"451";"169820";"lemos"
"452";"169759";"josé serebrier"
"453";"168009";"johan söderqvist"
"454";"167970";"aram khachaturian"
"455";"167970";"aram khatchatourian"
"456";"167813";"stephen warbeck"
"457";"167781";"francesco tristano"
"458";"161024";"laura karpman"
"459";"159192";"francis poulenc"
"460";"157755";"mark ayres"
"461";"155820";"patrick hawes"
"462";"155792";"lou harrison"
"463";"155554";"marc streitenfeld"
"464";"155550";"atli örvarsson"
