dz_artist_id;dz_name;aliases;last_name_only;period_szk;period_s
4331;Ludovico Einaudi;Einaudi;T;Moderne;Moderne
437166;Nikolai Rimsky-Korsakov;Rimsky-Korsakov | Rimski-Korsakow;T;Romantique;Romantique
437167;Gioachino Rossini;Rossini;T;Romantique;Classique/Romantique
437168;Carl Maria von Weber;Carl Maria Von Weber;;Pré-romantique;Classique
437169;Ronald Binge;Ronald Binge;;;Moderne
437170;Alexander Borodin;Borodine | Borodin ;T;Romantique;
437172;Edward Elgar;Elgar;T;Post-romantique;Romantique/Moderne
437173;Emmanuel Chabrier;Chabrier;T;Romantique;Romantique
437174;Manuel De Falla;De Falla;T;Moderne;Romantique/Moderne
4505;Tomaso Albinoni;Tomaso Albinoni;T;Baroque;Baroque
452512;Luciano Berio;Berio;T;Contemporaine;Moderne
4537651;Alexander Motovilov;Alexander Motovilov;;NA;NA
4596967;Michael Tippett;Tippett;T;Contemporaine;
460395;Béla Bartók;Bartok;T;Moderne;Romantique/Moderne
4610701;François-Adrien Boïeldieu;Boieldieu;T;Classique;
463502;Édouard Lalo;Lalo;T;Romantique;Romantique
4694;Lalo Schifrin;Schifrin;T;Moderne;Moderne
4726;Philip Glass;Philip Glass;T;Contemporaine;Moderne
4735;Karl Jenkins;Karl Jenkins;;Moderne;Moderne
475950;Alberto Ginastera;Ginastera;T;Contemporaine;Moderne
487942;Karlheinz Stockhausen;Stockhausen;T;Moderne;Moderne
4976;Giuseppe Verdi;Verdi;T;Romantique;Romantique
500210;Jérôme Rebotier;Jérôme Rebotier;;NA;NA
5021;Andrés Segovia;Segovia;T;Moderne;Moderne
5153;Gregorio Allegri;Gregorio Allegri;;Baroque;Baroque
5176;Claude Debussy;Debussy;T;Moderne;Romantique/Moderne
520650;Jean-Philippe Rameau;Rameau;T;Baroque;Baroque/Classique
532210;Heinrich Schütz;Heinrich Schütz;;Baroque;Baroque
54540;Toru Takemitsu;Takemitsu;T;Contemporaine;Moderne
54756;Terry Riley;Terry Riley;;Contemporaine;Moderne
54820;Henri Pousseur;Henri Pousseur;;;Moderne
55032;Wilhelm Furtwängler;Furtwangler;T;;Romantique/Moderne
55627;Georges Schmitt;Florent Schmitt;;Moderne;
565980;Michele Fedrigotti;Fedrigotti;T;NA;NA
56743222;Pascal Dusapin;Pascal Dusapin;;Contemporaine;
5695;Wolfgang Amadeus Mozart;Mozart | W.A. Mozart;T;Classique;Classique
57140;Charles-marie Widor;Widor;T;Post-romantique;Romantique/Moderne
58340;Bruno Maderna;Bruno Maderna;T;;Moderne
5866;Johann Pachelbel;Pachelbel;T;Baroque;Baroque
59238;Girolamo Frescobaldi;Frescobaldi;T;Baroque;Baroque
605557;Arthur Honegger;Honegger;T;Moderne;Moderne
605560;George Antheil;George Antheil;T;;Moderne
60951;Olivier Messiaen;Olivier Messiaen;T;Contemporaine;Moderne
6139;Edvard Grieg;Grieg;T;Romantique;Romantique
6144;Ludwig van Beethoven;Beethoven;T;Pré-romantique;Classique/Romantique
6355;Vincenzo Bellini;Bellini;T;Romantique;Romantique
64274;John Adams;John Adams;;;Moderne
64292;Louis Andriessen;Louis Andriessen;T;NA;NA
648420;Frank Martin;Frank Martin;;;Moderne
65832;Pierre Boulez;Boulez;T;Contemporaine;Moderne
660560;Henri Dutilleux;Dutilleux;T;Contemporaine;Moderne
661973;Fabrizio Paterlini;Paterlini;T;NA;NA
6690;Max Richter;Max Richter;F;Contemporaine;Contemporaine
67806;Ariel Ramirez;Ariel Ramirez;;Contemporaine;
6801;Samuel Barber;Barber;T;Moderne;Moderne
68039;Giuseppe Sinopoli;Sinopoli;T;NA;NA
68387;Heitor Villa-Lobos;Villa-Lobos;T;Moderne;Romantique/Moderne
68521;Artur Schnabel;Arthur Schnabel;;;Romantique/Moderne
6854;Amilcare Ponchielli;Ponchielli;T;Romantique;
6914;Gustav Mahler;Mahler;T;Post-romantique;Romantique
7128;Johannes Brahms;Brahms;T;Romantique;Romantique
7203;Maurice Ravel;Ravel;T;Moderne;Romantique/Moderne
7228;Franz Schubert;Schubert;T;Pré-romantique;Classique/Romantique
72401;Olivier Deriviere;Deriviere;T;NA;NA
72447;Iannis Xenakis;Iannis Xenakis;T;Moderne;Moderne
73571;Igor Stravinsky;Stravinsky | Stravinski;T;Moderne;Romantique/Moderne
73651;Esa-Pekka Salonen;Esa-Pekka Salonen;T;NA;NA
7368;George Gershwin;Gershwin;T;Moderne;Moderne
7416;Aaron Copland;Aaron Copland;T;Moderne;Moderne
7651;Fernando Sor;Sor;T;;Classique/Romantique
7692;Camille Saint-Saëns;Camille Saint-Saens | Saint-Saëns;T;Romantique;Romantique/Moderne
7730;David Foster;David Foster;;;Romantique
77553;Pablo Casals;Casals;T;;Romantique/Moderne
796751;Max Reger;Max Reger;;Moderne;Romantique
7991;György Ligeti;Ligeti;T;Contemporaine;Moderne
805;John Williams;John Williams;F;Contemporaine;Moderne
807583;Clara Schumann;Clara Schumann;F;Romantique;Romantique
8100;Alfredo Catalani;Alfredo Catalani;T;Romantique;
823557;Ferruccio Busoni;Busoni;T;;Romantique/Moderne
8244;Giacomo Puccini;Puccini;T;Post-romantique;Romantique/Moderne
824615;Fiona MONBET;Fiona Monbet;;NA;NA
827008;Cornelius Cardew;Cornelius Cardew;T;;Moderne
8473;Frédéric Chopin;Chopin;T;Romantique;Romantique
8584832;Armin Haas;Georg Friedrich Haas;;NA;NA
8591530;Kim Andre Arnesen;Kim André Arnesen;T;NA;NA
8624214;Dmitry Evgrafov;Evgrafov;T;NA;NA
8667;John Cage;Cage | John Cage;T;Moderne;Moderne
87323;Jean-claude Risset;Jean-Claude Risset;;Contemporaine;
87334;Alvin Lucier;Alvin Lucier;;NA;NA
87361;Pierre Schaeffer;Pierre Schaeffer;;Contemporaine;
87367;Pauline Oliveros;Pauline Oliveros;;NA;NA
