dz_artist_id,sc_artist_id,mbz_artist_id
178200,1002129,NA
200195,3299571,NA
247638,1107498,NA
259654,1075615,NA
11365,605957,NA
816762,797741,NA
259896,2030427,NA
393007,5915420,NA
4025451,1122610,NA
558274,3019216,NA
171657,5843850,NA
109663,848081,NA
92814,797247,NA
153531,568325,NA
626072,568272,NA
12532722,4903967,NA
461083,1059951,NA
546460,816784,NA
80425,661576,NA
4849526,859596,NA
84979,765384,23f7504e-ec1d-40c3-a96b-7d6046c4491d
248033,760425,NA
464124,530713,NA
299314,557492,NA
308526,4000,NA
315576,1262907,NA
655323,1279663,NA
4077626,612475,NA
132560,1002127,NA
256226,765981,NA
452073,571993,NA
182574,712938,NA
984071,769332,NA
313233,841598,NA
12204524,5088477,NA
211373,58610,NA
85080,1002152,NA
869216,1345490,NA
341079,1904922,NA
341154,5887159,NA
646360,4662050,NA
360678,1163778,NA
155993,581623,NA
54130,596733,NA
389584,21052071,NA
81123,826952,NA
69118962,2702,NA
451149,618785,NA
133717,691471,NA
417515,1125648,NA
347454,5466063,NA
436205,926813,NA
251600,643529,NA
133047,590634,NA
3045,566430,NA
75133,583323,NA
1539961,527423,NA
210633,613580,NA
68351,7574137,NA
469542,666747,NA
368389,986640,NA
169891,626121,NA
9905864,3441500,NA
68780232,9459725,NA
4080349,5555657,NA
5551124,2132641,NA
170122847,8132900,NA
9958178,5272734,NA
140005292,2465894,NA
10089918,4745094,NA
8593060,4959679,NA
4332786,789248,NA
136276272,5944405,NA
15371173,5677793,NA
4043551,1177262,NA
1353462,860429,NA
2597231,2593119,NA
5833095,2021729,NA
4517470,77408,NA
4663555,914407,NA
1678240,871233,NA
4822474,1362981,NA
1503379,1362979,NA
3495511,590024,NA
270128542,3066593,NA
14756433,7516979,NA
10798268,1128957,NA
6754503,3968618,NA
201986,5924749,NA
1455136,1113428,NA
3216631,947054,NA
5903573,1982642,NA
11330964,5433461,NA
253472562,6523590,NA
12547898,1361067,NA
651531,1088015,NA
12152282,4536954,NA
10688,601742,NA
1486625,791366,NA
7876148,2383434,NA
4645463,599459,NA
5314744,539303,NA
83162262,5274894,NA
106100,1238312,NA
83677672,844529,NA
11516923,3447432,NA
4837121,1223047,NA
10210,4537000,NA
91515,754478,NA
6884679,1849775,NA
14574,557227,NA
5650953,1478070,NA
11591997,655465,NA
5702377,780634,NA
6200936,5716240,NA
4683972,3677648,NA
160655,3935523,NA
6616442,5318230,NA
4822303,6096524,NA
6846943,4137717,NA
4083126,1232751,NA
4448225,1120201,NA
4348553,1202892,NA
336700,29396,NA
12556326,5922745,NA
1078865,1065742,NA
7114487,3153062,NA
516628,855544,NA
4026989,1117252,NA
1108730,3140355,NA
4924854,628960,NA
5202636,5684231,NA
4877643,6298107,NA
5596698,1169495,NA
4433179,1004714,NA
8457340,4939366,NA
8556630,2939546,NA
1503431,57495,NA
4445141,5686654,NA
368241,608260,NA
367863,885697,NA
14089553,5196448,NA
212890347,6111435,NA
7138,566490,NA
6811639,1254490,NA
10824342,2583168,NA
5362750,5076764,NA
1491684,1313565,NA
12073800,2261174,NA
5561864,3819343,NA
14554,608282,NA
188016,4841468,NA
5839077,5011236,NA
1138557,5694296,NA
134340032,5952212,NA
11690965,580788,NA
12096740,3680752,NA
5840401,1936285,NA
11690963,622709,NA
8456514,1198096,NA
1233948,5355780,NA
13146043,989570,NA
253770962,4174908,NA
9855778,6773204,NA
188663277,1106923,NA
4470927,3241489,NA
4666558,7166612,NA
4945964,9367934,NA
16065,4536955,NA
208237897,6709793,NA
85876,5299311,NA
8344424,4940255,NA
6563333,5924087,NA
4566079,730994,NA
9177160,2801279,NA
11591317,3604528,NA
1576606,996017,NA
186494577,6622026,NA
1399937,643202,NA
2504691,1169331,NA
259687,797121,NA
4495398,733257,NA
1154160,1625167,NA
103708,1318995,NA
413188,792747,NA
380792,5158152,NA
4494097,844494,NA
246644662,2338501,NA
88174262,979189,NA
4455071,1208962,NA
2370,2642817,NA
865939,4810179,NA
5168986,1333717,NA
90212602,883966,NA
6280362,599719,NA
4449282,824751,NA
259141,1166868,NA
5790933,1342122,NA
13026949,816565,NA
89000082,1697309,NA
253942642,1046881,NA
11575735,1798219,NA
5606168,3651283,NA
6310904,1296394,NA
2215611,1892538,NA
194336137,885504,NA
327360,3977509,NA
57867512,4899824,NA
141578982,743221,NA
12266244,5908163,NA
4885972,763941,NA
11585879,913253,NA
13281065,4723298,NA
398270,1061519,NA
4872673,1868606,NA
166652737,1471756,NA
198426,45466,NA
4221722,1024134,NA
5067155,1544802,NA
574147,1894079,NA
1486619,791372,NA
4928952,1687857,NA
533145,848052,NA
1473051,1171150,NA
228784005,5742854,NA
4540358,5318228,NA
103406722,5417816,NA
9331582,632669,NA
1553061,749251,NA
57234152,1208959,NA
66431,571149,NA
168464897,5983425,NA
1194088,1201379,NA
12103030,4537001,NA
6090606,128239,NA
5295722,4814072,NA
5342163,610463,NA
404012,1273606,NA
4441894,2204052,NA
181861137,6422485,NA
5507320,1612784,NA
4415250,1337382,NA
10535249,4134229,NA
4718870,1006267,NA
15348,730186,NA
795023,1169991,NA
9140772,2524801,NA
166190,811515,NA
13552461,5906970,NA
12789917,3489344,NA
119343,991853,NA
80381,3977824,NA
4832139,2907529,NA
1509303,2907530,NA
5055702,659865,NA
5325782,544094,NA
275639,898504,NA
4495108,1306882,NA
3697261,1134715,NA
8806108,2446696,NA
8884194,2501587,NA
10236402,3012176,NA
8438566,1770792,NA
155662292,6856452,NA
4663546,623275,NA
121192282,748945,NA
4822273,2024039,NA
5502414,1327885,NA
4984333,1978381,NA
5293402,2059667,NA
83565,4669987,NA
4563085,4906019,NA
5119655,9368256,NA
4478229,9368257,NA
8306978,1284597,NA
2886821,1131118,NA
201876,1394348,NA
8940984,2736927,NA
10038368,3257889,NA
6244404,2989849,NA
68697,599033,NA
1463287,820341,NA
11823945,2989997,NA
9237878,2576296,NA
5150,672899,NA
12073558,942965,NA
7758050,3712826,NA
118474,866121,NA
5413893,1240390,NA
13636697,3987407,NA
8545,26458,NA
5510275,1435455,NA
5651588,2501588,NA
4559728,5460529,NA
5705396,2724526,NA
12494746,1050159,NA
5248457,1055762,NA
4843761,1206044,NA
8104609,2133217,NA
1559244,708043,NA
1044015,820848,NA
221571985,1202425,NA
4835587,1216702,NA
335770,999481,NA
4251896,4285855,NA
6203906,9039640,NA
6203908,9039641,NA
10766210,552704,NA
4452234,3626334,NA
6846945,637935,NA
9568610,720769,NA
1373999,1094996,NA
4663538,1201493,NA
4663539,1201494,NA
2280081,596328,NA
1054869,888148,NA
10526299,940331,NA
4456770,1226162,NA
1268192,558488,NA
65744712,771311,NA
4856049,1321159,NA
5037741,1163356,NA
4399176,4314347,NA
60858,1024655,NA
5439546,1874742,NA
3123,580442,NA
56917392,5257029,NA
4123268,721474,NA
11608361,2792971,NA
242990281,4540466,NA
6956449,900941,NA
5895715,962840,NA
51417062,4778846,NA
5430722,859536,NA
6863203,1338160,NA
9611694,601854,NA
9966998,1559512,NA
169810557,5944065,NA
7016,1237,NA
1682275,794954,NA
4995883,1214635,NA
227670075,4832197,NA
118274,692813,NA
992223,889872,NA
2261,11073,NA
1638985,1222722,NA
8032799,1130918,NA
10444500,3643859,NA
5518476,4022653,NA
13974,1032963,NA
4415698,2108677,NA
14951391,3412806,NA
54208192,5103855,NA
129399072,6726475,NA
6111460,675279,NA
58624,780144,NA
5078776,1731909,NA
898431,795313,NA
4610987,50226,NA
198615957,628715,NA
14482769,776496,NA
5798797,1144535,NA
4951558,2927650,NA
448649,1241819,NA
15428,645231,NA
5882416,1362422,NA
6720371,1479946,NA
165930,674250,NA
5225961,814013,NA
547784,1205959,NA
811076,3810029,NA
4871429,5827721,NA
148283762,5942240,NA
7265810,861704,NA
3282141,837307,NA
4566142,5101406,NA
12281518,5149102,NA
5109103,855668,NA
14179885,1088013,NA
5421003,1124871,NA
5960226,1147099,NA
7072727,1357834,NA
8531678,1924803,NA
4546722,1978391,NA
