art_id,lang,nb_songs
12991285,es,104
13734,en,54
1689466,de,250
116123,en,50
4144741,en,37
13744631,es,44
8232,en,121
15021,en,89
138734,en,159
112542,es,48
1564377,da,83
9336,en,96
10877418,de,69
61729,en,386
51586882,en,32
7260670,en,235
519570,en,53
4391,en,115
244719,en,82
8806592,es,49
4907511,fr,35
7514,en,75
7722562,af,114
2503,ja,317
4731,en,89
5621293,en,59
7953,en,42
5307822,pt,53
6114406,it,54
356270,es,39
51782992,en,44
7881,de,443
65173,it,59
15687,en,83
7319,en,89
13086,en,111
5142,en,202
3476,en,195
7140,fr,278
1683410,en,45
1112,fr,140
403601,en,39
1427428,en,35
3515,en,74
70413,nl,78
9228,en,235
6395,en,38
128,de,145
400403,en,68
346,en,217
3973121,en,202
254045,en,46
317166,nl,172
16108,en,149
423,en,456
153920,en,62
1559,en,354
16820,en,99
2053,en,258
4255,en,70
6814,en,177
1327,en,274
13237499,ar,92
133049,es,164
1968,pt,130
66623442,fr,37
145302,en,38
4842568,tr,127
4102250,en,48
358940,en,55
14,en,224
92152,en,77
173581,en,160
1343888,ar,103
5577068,en,38
564118,es,44
187156,en,99
7837348,en,45
244037,pt,100
242126,pt,127
199,en,371
5713,it,93
928,en,84
2197,en,107
57518,en,133
1541,en,164
4959736,de,90
97124,en,37
470912,de,64
1116539,pt,88
103369,en,240
5901877,nl,34
5513,en,32
4569,en,58
1582990,fr,193
7573934,es,155
77533,en,96
430185,en,72
173744,tl,33
411,en,190
6928,en,79
266953,en,60
86396,en,35
390416,en,32
2331311,fr,54
425,en,458
1154611,en,159
149292,it,311
7702,en,61
2036,en,64
284,en,152
13631667,en,84
14311,en,34
112721,en,69
1035806,en,49
75354,ar,59
8161640,ja,34
249,en,305
54866,en,89
6881,de,116
69969,en,100
123597,en,63
136941,hi,88
1283814,es,69
821588,es,57
4059062,en,84
77944,es,96
5623138,fr,75
76548,en,31
392060,nl,156
4485585,en,31
5797,en,253
5290,en,94
55677,en,212
105477712,en,44
12336642,pt,211
987,en,99
65415,en,203
4055614,pt,59
14706,en,60
14468689,ru,107
83437732,nl,41
252242,en,41
64883,it,143
10226,en,89
4779,en,202
1882,en,147
4336474,en,48
1155242,it,165
73018,fr,83
3225,en,47
6980,en,87
7584872,en,31
7580,en,51
1300,en,66
66364,en,37
75034,en,32
4633500,pt,70
3541,en,41
101645,ar,49
666128,fr,54
4431244,en,32
1519461,fr,70
2292041,ja,44
896,en,217
1354368,en,37
3481,en,47
7553,en,50
391178,en,33
308,en,320
12207,en,81
65758,en,35
78891,nl,38
83735,en,58
9829,en,41
291118,en,62
10039830,ja,221
14968,en,69
94807,en,46
460374,en,62
4059799,en,68
4512754,pt,60
1685278,en,43
3277,en,144
82783752,en,40
8330,de,105
5364,en,67
75041,es,167
475,en,60
882996,en,50
133047,en,105
1115983,en,31
5995,en,149
8958,en,87
176485,es,73
1432088,en,37
1197906,tr,87
170145,en,120
96471,en,98
211384,en,66
4330270,en,42
5012145,de,164
8068,en,146
70170,en,39
292500,en,59
8702226,en,41
329730,en,56
103051,ar,181
76744,de,108
14594821,en,70
4086636,en,42
1241535,en,36
4502,en,93
4556286,sv,38
6949515,en,42
5484712,en,57
2181,en,69
124087,hr,44
61753,en,140
2039,en,196
11546917,en,31
17067,en,53
78006,en,72
298954,en,50
73246,en,32
406699,en,72
3718,en,113
1117369,en,161
96346832,en,34
5866152,en,61
66516,en,31
358583,en,56
11328,en,48
9134960,fr,61
921,en,62
5323767,en,48
1245,en,122
429161,en,69
147765,en,44
74583,en,48
148779,en,31
2419451,de,155
34,en,172
2976,en,48
8952,en,34
4983,fr,145
5111084,fr,110
1704,en,60
7853364,es,40
281500,fr,53
59915,en,36
1436484,en,39
78324,it,31
1419381,de,154
5844239,es,63
5802994,tr,44
52616432,fr,33
4794876,pl,31
67309,en,39
110703,en,138
4944289,en,124
1187892,en,49
2577251,it,77
148567,en,35
4539853,fr,49
5494427,en,51
77795,en,109
12544810,en,31
468748,en,41
3423,en,232
1618261,en,59
150084,fr,34
94328,pt,39
6660,en,55
2796,ar,35
147159,en,39
12924,en,67
13278029,en,32
173726,en,66
68163,en,44
1045278,en,42
442784,en,46
134612,en,68
1127556,en,33
7579730,ja,91
5498687,es,49
5126564,en,40
12108,en,78
55379392,ru,31
15770,pt,104
50785762,en,32
390273,en,57
4616610,en,61
3826,en,48
7795,en,50
870,fr,49
6065090,pt,31
5908709,hr,40
344,en,91
1259302,en,38
10283,en,63
2021,en,52
130148,en,42
6983471,en,35
71240,en,31
16678,en,42
15259941,en,43
7215260,pt,36
190785,en,58
110796,en,35
1572028,nl,49
7515338,en,39
515052,en,66
258332,en,45
156881,en,40
4458305,es,49
7885,ro,36
120794172,en,60
5100950,ru,41
9253,en,39
859,en,133
380955,en,31
433370,en,39
183639,en,35
360687,en,58
7668530,fr,48
64927672,en,64
13194,en,48
270239,en,52
56171,en,44
311295,en,37
5126036,en,35
76030882,en,32
1169,en,90
13307353,en,33
3495,en,61
9334770,es,89
68291,en,43
3468021,es,59
11901383,es,38
64181,en,35
8707,fr,31
9945222,en,87
66535,fr,43
12969,en,34
1228,en,34
9000976,en,32
2487,en,36
5578492,ru,37
90464,en,38
243980,en,65
396236,tr,44
145517,ru,58
1642535,en,32
50452132,en,35
6400,en,52
262527,en,35
8343320,en,47
435316,en,47
283811,en,31
1181824,pt,31
343656,en,49
6672,en,50
389793,en,59
229263,en,41
1235415,ru,39
434722,tr,53
3922661,es,34
453548,en,51
149231,en,45
208588387,en,38
198654,de,35
4039184,en,49
5270,de,37
110627,en,38
54518272,en,35
99991,pt,34
355575,en,41
